Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,326,17,-51.74000000000524,2,5,1,251,At Risk
12347.0,2,8,4921.53,5,4,5,545,Champions
12348.0,75,5,2019.4,3,3,4,334,Loyal Customers
12349.0,19,5,4404.54,4,3,5,435,Loyal Customers
12350.0,310,1,334.4,2,1,2,212,Lost Customers
12351.0,375,1,300.93,2,1,2,212,Lost Customers
12352.0,36,13,1889.21,4,5,4,454,Champions
12353.0,204,2,406.76,2,2,2,222,Lost Customers
12354.0,232,1,1079.4,2,1,3,213,Lost Customers
12355.0,214,2,947.61,2,2,3,223,Lost Customers
12356.0,23,6,6371.73,4,4,5,445,Champions
12357.0,33,3,18287.66,4,2,5,425,Recent Customers
12358.0,2,5,3887.07,5,3,5,535,Loyal Customers
12359.0,8,14,8652.34,5,5,5,555,Champions
12360.0,52,9,4212.89,4,4,5,445,Champions
12361.0,287,4,511.25,2,3,2,232,At Risk
12362.0,3,14,5284.58,5,5,5,555,Champions
12363.0,110,2,552.0,3,2,2,322,Lost Customers
12364.0,8,4,1313.1,5,3,4,534,Loyal Customers
12365.0,291,3,320.69,2,2,2,222,Lost Customers
12366.0,634,1,500.24,1,1,2,112,Lost Customers
12367.0,4,1,168.9,5,1,1,511,Recent Customers
12368.0,628,1,917.6999999999999,1,1,3,113,Lost Customers
12369.0,413,3,1791.15,2,2,4,224,Lost Customers
12370.0,51,7,4316.56,4,4,5,445,Champions
12371.0,45,5,4067.38,4,3,5,435,Loyal Customers
12372.0,72,3,1298.04,3,2,4,324,Lost Customers
12373.0,311,3,1127.65,2,2,3,223,Lost Customers
12374.0,25,4,2989.2200000000003,4,3,5,435,Loyal Customers
12375.0,3,3,455.42,5,2,2,522,Recent Customers
12376.0,390,2,503.15,2,2,2,222,Lost Customers
12377.0,315,4,3426.32,2,3,5,235,At Risk
12378.0,130,2,5416.32,3,2,5,325,Lost Customers
12379.0,82,5,1618.27,3,3,4,334,Loyal Customers
12380.0,22,15,7888.0,4,5,5,455,Champions
12381.0,5,6,1803.96,5,4,4,544,Champions
12382.0,682,1,-18.38,1,1,1,111,Lost Customers
