StockCode,Description,Total_Quantity,Total_Revenue
10002,INFLATABLE POLITICAL GLOBE ,7448,6058.71
10080,GROOVY CACTUS INFLATABLE,315,129.29
10109,BENDY COLOUR PENCILS,4,1.68
10120,DOGGY RUBBER,634,136.44
10125,MINI FUNKY DESIGN TAPES,2103,1715.78
10133,COLOURING PENCILS BROWN TUBE,3817,2360.56
10134,COLOURING PENCILS BROWN TUBE,615,708.63
10135,COLOURING PENCILS BROWN TUBE,4215,4552.46
10138,ASSORTED COLOUR JUMBO PEN,67,29.32
11001,ASSTD DESIGN RACING CAR PEN,4018,6315.26
15030,FAN BLACK FRAME ,254,73.66
15034,PAPER POCKET TRAVELING FAN ,8705,1300.2
15036,ASSORTED COLOURS SILK FAN,43343,32323.0
15039,SANDALWOOD FAN,5074,4322.67
16008,SMALL FOLDING SCISSOR(POINTED EDGE),3141,422.96
16010,FOLDING CAMPING SCISSOR W/KNIF & S,32,3.84
16011, ANIMAL STICKERS,385,80.85
16011,ANIMAL STICKERS,3403,713.43
16012,FOOD/DRINK SPONGE STICKERS,2142,449.82
16012,FOOD/DRINK SPUNGE STICKERS,759,158.19
16014,SMALL CHINESE STYLE SCISSOR,29355,9513.1
16015,MEDIUM CHINESE STYLE SCISSOR,1572,711.38
16016,LARGE CHINESE STYLE SCISSOR,2314,1870.7
16033,MINI HIGHLIGHTER PENS,14641,1486.9199999999998
16043,POP ART PUSH DOWN RUBBER ,1161,112.62
16044,POP-ART FLUORESCENT PENS,6193,389.22
16045,POPART WOODEN PENCILS ASST,9312,429.44
16046,TEATIME PEN CASE & PENS,5424,834.46
16047,POP ART PEN CASE & PENS,5428,639.98
16048,TEATIME ROUND PENCIL SHARPENER ,3461,537.06
16049,TEATIME GEL PENS ASST,3169,560.48
16050,TEATIME PENCIL WITH RUBBER,151,46.45
16051,TEATIME PENCIL W STAMP ASST,941,84.69
16052,TEATIME PUSH DOWN RUBBER,824,271.24
16053,POPART COL BALLPOINT PEN ASST,2313,125.73
16054,POPART RECT PENCIL SHARPENER ASST,1102,146.04000000000002
16119,FUNKY GIRL ADDRESS BOOK,273,130.71
16192,PINK BALLET OPENING CUBE BOX ,3,12.899999999999999
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,366,287.01
16215,FUNKY GIRLZ MAGNETIC TO DO LIST ,8,5.2
16216,LETTER SHAPE PENCIL SHARPENER,4048,354.04
16218,CARTOON  PENCIL SHARPENERS,4629,448.13
16219,HOUSE SHAPE PENCIL SHARPENER,3309,496.67
16225,RATTLE SNAKE EGGS,1520,1271.66
16235,RECYCLED PENCIL WITH RABBIT ERASER,5694,1306.02
16236,KITTY PENCIL ERASERS,2624,587.41
16237,SLEEPING CAT ERASERS,10294,2214.04
16238,PARTY TIME PENCIL ERASERS,2447,559.54
16239,BALLERINA HEART DECORATION.,347,492.17
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,941,305.66
16259,PIECE OF CAMO STATIONERY SET,5339,751.99
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,1205,297.61
17003,BROCADE RING PURSE ,69629,14550.64
17021,NAMASTE SWAGAT INCENSE,3642,960.8399999999999
17033,"BROCADE PURSE,SMALL ARCH BUTTON",3244,857.4
17038,PORCELAIN BUDAH INCENSE HOLDER,2559,254.51000000000002
17039,INLAID WOOD INCENSE HOLDER,3707,837.88
17061,ASSORTED SHAPED STENCIL FOR HENNA,52,2.08
17096,ASSORTED LAQUERED INCENSE HOLDERS,6240,1117.0900000000001
17174,ASSTD RASTA KEY-CHAINS,36,15.120000000000001
17178,FLAT PALM T-LIGHT HOLDER,133,156.65
17181,CIRCLE OF FRIENDS CANDLE HOLDER,353,642.66
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,8996,923.22
18010,ASSORTED FRAGRANCE BATH CONFETTI,64,30.16
20615,BLUE POLKADOT PASSPORT COVER,321,506.96
20615,BLUE SPOTTY PASSPORT COVER,316,570.85
20616,CHERRY BLOSSOM PASSPORT COVER,283,449.26
20617,FIRST CLASS PASSPORT COVER ,498,992.99
20618,QUEEN OF THE SKIES PASSPORT COVER ,297,648.54
20619,TROPICAL PASSPORT COVER ,578,1014.42
20620,RED SPOTTY PASSPORT COVER,15,61.76
20621,ECONOMY PASSPORT COVER ,207,451.67
20622,VIP PASSPORT COVER ,43,94.04
20622,VIPPASSPORT COVER ,539,1033.55
20652,BLUE POLKADOT LUGGAGE TAG ,280,369.39
20652,BLUE SPOTTY LUGGAGE TAG ,1236,657.9
20653,CHERRY BLOSSOM LUGGAGE TAG,2004,528.77
20654,FIRST CLASS LUGGAGE TAG ,398,505.41
20655,QUEEN OF SKIES LUGGAGE TAG,414,608.48
